ward,total_population
NARELA,54908
BANKNER,52874
HOLAMBI KALAN,80238
ALIPUR,74449
BAKHTAWARPUR,55144
BURARI,71180
KADIPUR,70169
MUKUNDPUR,86243
SANT NAGAR,54096
JHARODA,83406
TIMARPUR,76596
MALKA GANJ,68941
MUKHERJEE NAGAR,79914
DHIRPUR,59858
ADARSH NAGAR,59139
AZADPUR,69220
BHALSWA,63537
JAHANGIR PURI,80335
SARUP NAGAR,78653
SAMAYPUR BADLI,67788
ROHINI-A,66482
ROHINI-B,60621
RITHALA,71698
VIJAY VIHAR,68107
BUDH VIHAR,51524
POOTH KALAN,70203
BEGUMPUR,78987
SHAHBAAD DAIRY,54537
POOTH KHURD,57630
BAWANA,64013
NANGAL THAKRAN,57612
KANJHAWALA,40467
RANI KHERA,69553
NANGLOI,71856
MUNDKA,50839
NILOTHI,79992
KIRARI,57703
PREM NAGAR,63337
MUBARIKPUR,81734
NITHARI,63982
AMAN VIHAR,78962
MANGOL PURI,68404
SULTANPURI-A,74003
SULTANPURI-B,72975
JAWALAPURI,80685
NANGLOI JAT,64870
NIHAL VIHAR,52919
GURU HARKISHAN NAGAR,62946
MANGOLPURI-A,78867
MANGOLPURI-B,81344
ROHINI-C,71696
ROHINI-F,81298
ROHINI-E,66795
ROHINI-D,80948
SHALIMAR BAGH-A,61220
SHALIMAR BAGH-B,72416
PITAM PURA,80594
SARASWATI VIHAR,63630
PASCHIM VIHAR,67423
RANI BAGH,66602
KOHAT ENCLAVE,66252
SHAKUR PUR,71833
TRI NAGAR,69013
KESHAV PURAM,65433
ASHOK VIHAR,55773
WAZIR PUR,87397
SANGAM PARK,54854
MODEL TOWN,65907
KAMLA NAGAR,61009
SHASTRI NAGAR,78483
KISHAN GANJ,74022
SADAR BAZAR,66050
CIVIL LINES,55142
CHANDNI CHOWK,51672
JAMA MASJID,46051
CHANDANI MAHAL,58169
DELHI GATE,55397
BAZAR SITA RAM,57774
BALLIMARAN,62034
RAM NAGAR,69121
QURAISH NAGAR,60053
PAHAR GANJ,67390
KAROL BAGH,66938
DEV NAGAR,64451
WEST PATEL NAGAR,69686
EAST PATEL NAGAR,44420
RANJEET NAGAR,54256
BALJEET NAGAR,54213
KARAM PURA,72228
MOTI NAGAR,59046
RAMESH NAGAR,72577
PUNJABI BAGH,69946
MADIPUR,71727
RAGHUBIR NAGAR,78369
VISHNU GARDEN,73302
RAJOURI GARDEN,65596
CHAUKHANDI NAGAR,67284
SUBHASH NAGAR,59595
HARI NAGAR,74020
FATEH NAGAR,57335
TILAK NAGAR,52859
KHYALA,72421
KESHOPUR,72766
JANAK PURI SOUTH,80061
MAHAVEER ENCLAVE,70924
JANAK PURI WEST,69625
VIKAS PURI,74846
HASTSAL,68864
VIKAS NAGAR,51864
KUNWAR SINGH NAGAR,55270
BAPROLA,54328
SAINIK ENCLAVE,88571
MOHAN GARDEN,60029
NAWADA,86959
UTTAM NAGAR,68309
BINDA PUR,58750
DABRI,66907
SAGARPUR,78790
MANGLAPURI,68160
DWARKA-B,62971
DWARKA-A,73208
MATIALA,54631
KAKROLA,65930
NANGLI SAKRAWATI,83159
CHHAWALA,81500
ISAPUR,76423
NAJAFGARH,68559
DICHAON KALAN,71665
ROSHAN PURA,69828
DWARKA-C,45075
BIJWASAN,47291
KAPASHERA,74073
MAHIPALPUR,65162
RAJ NAGAR,66635
PALAM,54900
MADHU VIHAR,67394
MAHAVIR ENCLAVE,67473
SADH NAGAR,56487
NARAINA,80240
INDER PURI,59603
RAJINDER NAGAR,62224
DARYAGANJ,44956
SIDHARTHA NAGAR,52058
LAJPAT NAGAR,53035
ANDREWS GANJ,66237
AMAR COLONY,56045
KOTLA MUBARAKPUR,49669
HAUZ KHAS,45509
MALVIYA NAGAR,62475
GREEN PARK,49705
MUNIRKA,64543
R.K. PURAM,54347
VASANT VIHAR,55960
LADO SARAI,68172
MEHRAULI,74939
VASANT KUNJ,57080
AYA NAGAR,51783
BHATI,71373
CHHATARPUR,58988
SAID-UL-AJAIB,70967
DEOLI,69916
TIGRI,70576
SANGAM VIHAR-A,75114
DAKSHIN PURI,72967
MADANGIR,52695
PUSHP VIHAR,82509
KHANPUR,64453
SANGAM VIHAR-C,73215
SANGAM VIHAR-B,72010
TUGHLAKABAD EXTENSION,72486
CHITRANJAN PARK,62940
CHIRAG DELHI,74850
GREATER KAILASH,47763
SRI NIWAS PURI,70489
KALKAJI,45038
GOVIND PURI,74610
HARKESH NAGAR,65932
TUGHLAKABAD,63172
PUL PEHLADPUR,69724
BADARPUR,70836
MOLARBAND,66525
MEETHAPUR,69837
HARI NAGAR EXTENSION,66979
JAITPUR,62317
MADANPUR KHADAR EAST,55119
MADANPUR KHADAR WEST,56323
SARITA VIHAR,55385
ABUL FAZAL ENCLAVE,76012
ZAKIR NAGAR,76470
NEW ASHOK NAGAR,63870
MAYUR VIHAR PHASE-I,88878
TRILOKPURI,88792
KONDLI,66098
GHAROLI,78926
KALYANPURI,87375
MAYUR VIHAR PHASE-II,55663
PATPAR GANJ,58762
VINOD NAGAR,58936
MANDAWALI,49753
PANDAV NAGAR,71022
LALITA PARK,55805
SHAKARPUR,66256
LAXMI NAGAR,47859
PREET VIHAR,52293
I.P. EXTENSION,60343
ANAND VIHAR,56495
VISHWAS NAGAR,53057
ANARKALI,57322
JAGAT PURI,76170
GEETA COLONY,59249
KRISHNA NAGAR,61458
GANDHI NAGAR,62052
SHASTRI PARK,68530
AZAD NAGAR,66674
SHAHDARA,69110
JHILMIL,68555
DILSHAD COLONY,76598
SUNDAR NAGRI,83935
DILSHAD GARDEN,79248
NAND NAGRI,73753
ASHOK NAGAR,59850
RAM NAGAR EAST,59874
ROHTASH NAGAR,55550
WELCOME COLONY,65707
SEELAMPUR,63039
GAUTAM PURI,51072
CHAUHAN BANGER,58344
MAUJPUR,63960
BRAHAM PURI,66203
BHAJANPURA,57248
GHONDA,65273
YAMUNA VIHAR,53966
SUBHASH MOHALLA,57209
KABIR NAGAR,54811
GORAKH PARK,63353
KARDAM PURI,64940
HARSH VIHAR,78698
SABOLI,71019
GOKAL PURI,73943
JOHARIPUR,71269
KARAWAL NAGAR-EAST,65474
DAYALPUR,54188
MUSTAFABAD,55586
NEHRU VIHAR,73213
BRIJ PURI,63040
SRI RAM COLONY,83347
SADATPUR,60181
KARAWAL NAGAR-WEST,69926
SONIA VIHAR,65031
SABAPUR,42819
